,City,Date,AVG Temperature °C,MIN Temp °C,MAX Temp °C,Dew point,Humidity,Visibility km,AVG Wind km/h,MAX Wind km/h,Wind gust km/h,Pressure mb,AVG Pressure mb,Rain mm,Phenomenas
0,Verona,2004-01-01,6.4,4.0,9.4,0.7,67.0,12,4,13,0,0.0,0.0,0.0,rain
1,Verona,2004-01-02,5.4,2.0,7.4,-1.9,59.0,11,14,26,0,0.0,0.0,0.8,rain
2,Verona,2004-01-03,3.1,-0.8,7.0,-3.9,60.0,11,3,9,0,0.0,0.0,0.0,
3,Verona,2004-01-04,1.3,-3.0,9.0,-4.8,64.0,11,4,11,0,0.0,0.0,0.0,
4,Verona,2004-01-05,-2.1,-5.0,-1.0,-2.4,98.0,3,4,9,0,0.0,0.0,0.0,fog
5,Verona,2004-01-06,0.3,-4.0,4.0,-1.6,87.0,2,3,5,0,0.0,0.0,0.0,fog
6,Verona,2004-01-07,1.3,-0.2,3.2,0.3,93.0,1,5,11,0,0.0,0.0,0.0,fog
7,Verona,2004-01-08,3.6,0.4,6.0,-0.7,73.0,3,2,5,0,0.0,0.0,0.0,rain
8,Verona,2004-01-09,3.9,2.6,6.3,2.8,93.0,2,5,11,0,0.0,0.0,3.1,rain
9,Verona,2004-01-10,4.1,-2.0,10.7,1.3,82.0,3,7,26,35,0.0,0.0,0.0,fog
10,Verona,2004-01-11,0.7,-3.0,6.2,-0.8,90.0,6,3,8,0,0.0,0.0,0.0,fog
11,Verona,2004-01-12,3.8,0.8,8.7,1.2,83.0,4,4,15,0,0.0,0.0,0.0,fog
12,Verona,2004-01-13,4.4,1.0,8.0,0.2,74.0,6,6,18,0,0.0,0.0,0.0,
13,Verona,2004-01-14,2.2,-1.0,5.4,2.0,99.0,2,5,11,0,0.0,0.0,0.0,fog
14,Verona,2004-01-15,7.3,1.2,14.0,-7.7,33.0,8,16,35,63,0.0,0.0,0.0,fog
15,Verona,2004-01-16,3.9,-2.1,8.2,-9.6,37.0,11,5,13,0,0.0,0.0,0.0,rain
16,Verona,2004-01-17,4.4,2.0,6.6,1.3,80.0,7,7,22,0,0.0,0.0,3.1,rain
17,Verona,2004-01-18,5.9,2.0,7.0,2.4,78.0,11,23,54,57,0.0,0.0,7.1,rain
18,Verona,2004-01-19,5.3,2.0,10.0,2.6,83.0,7,7,15,0,0.0,0.0,7.1,rain
19,Verona,2004-01-20,1.9,-0.2,4.0,1.4,96.0,3,6,11,0,0.0,0.0,0.0,fog
20,Verona,2004-01-21,3.6,-1.0,8.2,-1.8,68.0,9,8,22,0,0.0,0.0,0.0,
21,Verona,2004-01-22,3.4,2.0,6.0,-5.6,52.0,12,6,9,0,0.0,0.0,0.0,
22,Verona,2004-01-23,1.8,-1.4,5.0,-3.7,67.0,11,8,17,0,0.0,0.0,0.0,
23,Verona,2004-01-24,0.9,-0.4,3.1,-0.8,88.0,6,3,9,0,0.0,0.0,0.0,
24,Verona,2004-01-25,1.4,-1.1,5.2,-1.0,84.0,3,3,9,0,0.0,0.0,0.0,fog
25,Verona,2004-01-26,0.8,-1.0,3.2,-0.6,90.0,2,3,9,0,0.0,0.0,0.0,snow fog
26,Verona,2004-01-27,2.2,0.6,5.1,0.7,90.0,2,7,18,0,0.0,0.0,0.0,rain snow fog
27,Verona,2004-01-28,2.8,-1.0,7.2,-0.6,78.0,4,4,11,0,0.0,0.0,0.5,fog
28,Verona,2004-01-29,0.8,-4.0,6.0,-4.1,70.0,6,7,18,0,0.0,0.0,0.0,fog
29,Verona,2004-01-30,2.5,-2.0,7.8,-16.8,22.0,11,11,21,0,0.0,0.0,0.0,
30,Verona,2004-01-31,1.3,-2.0,3.4,-6.6,56.0,10,5,9,0,0.0,0.0,0.0,rain
31,Verona,2004-02-01,4.7,2.0,8.3,-1.8,63.0,6,6,13,0,0.0,0.0,0.0,
32,Verona,2004-02-02,4.1,1.0,8.4,-2.0,64.0,5,4,8,0,0.0,0.0,0.0,
33,Verona,2004-02-03,3.6,-2.8,10.0,0.6,81.0,3,4,9,0,0.0,0.0,0.0,
34,Verona,2004-02-04,3.2,-4.0,13.2,0.6,83.0,1,2,8,0,0.0,0.0,0.0,fog
35,Verona,2004-02-05,4.8,-4.0,15.2,-0.7,67.0,3,4,13,0,0.0,0.0,0.0,fog
36,Verona,2004-02-06,1.6,-2.0,5.4,1.3,98.0,0,3,8,0,0.0,0.0,0.0,fog
37,Verona,2004-02-07,3.5,2.0,5.7,2.8,95.0,1,3,8,0,0.0,0.0,0.0,fog
38,Verona,2004-02-08,5.1,-3.0,13.2,1.3,76.0,2,7,21,0,0.0,0.0,0.0,fog
39,Verona,2004-02-09,4.0,-3.0,13.2,-4.1,55.0,5,4,13,0,0.0,0.0,0.0,fog
40,Verona,2004-02-10,6.1,1.0,12.6,-12.2,25.0,10,8,15,0,0.0,0.0,0.0,
41,Verona,2004-02-11,5.7,-2.0,13.4,-2.1,57.0,8,6,21,0,0.0,0.0,0.0,
42,Verona,2004-02-12,3.9,-0.2,8.8,-3.8,57.0,9,14,24,37,0.0,0.0,0.0,
43,Verona,2004-02-13,3.1,0.0,6.2,-4.8,56.0,10,4,11,0,0.0,0.0,0.0,
44,Verona,2004-02-14,2.5,-2.8,7.2,-2.3,71.0,5,5,15,0,0.0,0.0,0.0,
45,Verona,2004-02-15,3.2,-2.4,10.0,-3.3,62.0,4,6,17,0,0.0,0.0,0.0,
46,Verona,2004-02-16,4.6,-1.2,11.2,-0.3,70.0,3,5,11,0,0.0,0.0,0.0,
47,Verona,2004-02-17,5.7,2.0,10.0,0.5,69.0,4,6,9,0,0.0,0.0,0.0,
48,Verona,2004-02-18,3.2,-2.0,7.2,1.2,87.0,2,8,21,0,0.0,0.0,0.0,rain and fog
49,Verona,2004-02-19,3.9,3.0,5.0,0.5,78.0,8,40,57,91,0.0,0.0,13.0,rain
50,Verona,2004-02-20,4.6,3.0,6.2,0.4,74.0,10,18,35,52,0.0,0.0,7.1,rain
51,Verona,2004-02-21,5.6,3.8,9.0,1.2,73.0,6,17,28,0,0.0,0.0,11.9,rain
52,Verona,2004-02-22,6.7,5.2,9.3,6.4,98.0,4,5,11,0,0.0,0.0,16.0,rain
53,Verona,2004-02-23,7.1,5.0,9.3,6.2,94.0,3,7,26,0,0.0,0.0,11.9,rain and fog
54,Verona,2004-02-24,3.1,1.1,5.1,-5.0,55.0,9,11,24,0,0.0,0.0,10.9,rain snow
55,Verona,2004-02-25,1.9,-2.0,5.2,-2.8,71.0,6,3,11,0,0.0,0.0,0.0,rain and fog
56,Verona,2004-02-26,2.4,1.0,5.0,-0.2,83.0,3,5,9,0,0.0,0.0,1.0,rain snow
57,Verona,2004-02-27,2.2,0.8,3.5,1.7,96.0,2,7,15,0,0.0,0.0,9.1,rain snow fog
58,Verona,2004-02-28,2.2,-0.6,5.0,-3.8,64.0,6,9,21,37,0.0,0.0,0.0,fog
59,Verona,2004-02-29,3.1,1.7,5.0,-4.3,58.0,9,8,15,0,0.0,0.0,0.0,rain snow
60,Verona,2004-03-01,3.7,-0.6,8.0,-8.3,41.0,11,7,18,0,0.0,0.0,0.0,
61,Verona,2004-03-02,2.6,-1.4,9.0,-8.2,45.0,9,6,11,0,0.0,0.0,0.0,
62,Verona,2004-03-03,5.2,-3.4,12.0,-4.1,51.0,5,5,13,0,1027.0,1018.0,0.0,
63,Verona,2004-03-04,5.9,0.8,11.0,-4.1,49.0,5,8,15,0,0.0,0.0,0.0,
64,Verona,2004-03-05,6.0,2.0,10.1,-1.8,57.0,6,12,18,0,0.0,0.0,0.0,
65,Verona,2004-03-06,4.5,2.0,6.0,2.4,86.0,5,11,17,0,0.0,0.0,0.8,rain snow
66,Verona,2004-03-07,2.4,0.8,4.0,2.1,98.0,2,5,11,0,0.0,0.0,8.9,rain snow fog
67,Verona,2004-03-08,3.4,0.4,6.1,1.4,87.0,4,6,15,0,0.0,0.0,5.6,rain snow
68,Verona,2004-03-09,5.6,1.0,11.4,-3.3,53.0,7,7,13,0,0.0,0.0,0.0,fog
69,Verona,2004-03-10,4.3,0.3,6.1,-0.2,72.0,7,24,37,54,0.0,0.0,0.5,rain
70,Verona,2004-03-11,4.7,3.6,6.1,2.5,86.0,11,29,50,72,0.0,0.0,17.0,rain
71,Verona,2004-03-12,6.8,3.0,11.0,-1.0,57.0,8,5,15,0,0.0,0.0,0.0,
72,Verona,2004-03-13,8.8,5.6,12.4,0.9,58.0,4,3,9,0,0.0,0.0,0.0,
