,LOCALITA,DATA,TMEDIA Â°C,TMIN Â°C,TMAX Â°C,PUNTORUGIADA Â°C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Verona,1/1/2004,"""6,4""","""4""","""9,4""","""0,7""","""67""","""12""","""4""","""13""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Verona,2/1/2004,"""5,4""","""2""","""7,4""","""-1,9""","""59""","""11""","""14""","""26""","""0""","""0""","""0""","""0,8""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Verona,3/1/2004,"""3,1""","""-0,8""","""7""","""-3,9""","""60""","""11""","""3""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Verona,4/1/2004,"""1,3""","""-3""","""9""","""-4,8""","""64""","""11""","""4""","""11""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Verona,5/1/2004,"""-2,1""","""-5""","""-1""","""-2,4""","""98""","""3""","""4""","""9""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Verona,6/1/2004,"""0,3""","""-4""","""4""","""-1,6""","""87""","""2""","""3""","""5""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Verona,7/1/2004,"""1,3""","""-0,2""","""3,2""","""0,3""","""93""","""1""","""5""","""11""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Verona,8/1/2004,"""3,6""","""0,4""","""6""","""-0,7""","""73""","""3""","""2""","""5""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Verona,9/1/2004,"""3,9""","""2,6""","""6,3""","""2,8""","""93""","""2""","""5""","""11""","""0""","""0""","""0""","""3,1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Verona,10/1/2004,"""4,1""","""-2""","""10,7""","""1,3""","""82""","""3""","""7""","""26""","""35""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Verona,11/1/2004,"""0,7""","""-3""","""6,2""","""-0,8""","""90""","""6""","""3""","""8""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Verona,12/1/2004,"""3,8""","""0,8""","""8,7""","""1,2""","""83""","""4""","""4""","""15""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Verona,13/1/2004,"""4,4""","""1""","""8""","""0,2""","""74""","""6""","""6""","""18""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Verona,14/1/2004,"""2,2""","""-1""","""5,4""","""2""","""99""","""2""","""5""","""11""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Verona,15/1/2004,"""7,3""","""1,2""","""14""","""-7,7""","""33""","""8""","""16""","""35""","""63""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Verona,16/1/2004,"""3,9""","""-2,1""","""8,2""","""-9,6""","""37""","""11""","""5""","""13""","""0""","""0""","""0""","""0""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Verona,17/1/2004,"""4,4""","""2""","""6,6""","""1,3""","""80""","""7""","""7""","""22""","""0""","""0""","""0""","""3,1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Verona,18/1/2004,"""5,9""","""2""","""7""","""2,4""","""78""","""11""","""23""","""54""","""57""","""0""","""0""","""7,1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Verona,19/1/2004,"""5,3""","""2""","""10""","""2,6""","""83""","""7""","""7""","""15""","""0""","""0""","""0""","""7,1""","""pioggia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Verona,20/1/2004,"""1,9""","""-0,2""","""4""","""1,4""","""96""","""3""","""6""","""11""","""0""","""0""","""0""","""0""","""nebbia """,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Verona,21/1/2004,"""3,6""","""-1""","""8,2""","""-1,8""","""68""","""9""","""8""","""22""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Verona,22/1/2004,"""3,4""","""2""","""6""","""-5,6""","""52""","""12""","""6""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Verona,23/1/2004,"""1,8""","""-1,4""","""5""","""-3,7""","""67""","""11""","""8""","""17""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Verona,24/1/2004,"""0,9""","""-0,4""","""3,1""","""-0,8""","""88""","""6""","""3""","""9""","""0""","""0""","""0""","""0""","""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
